student_id,student,true_teacher_family,distill_data,probe_prompt,candidate_setting,n_candidates,top_score,second_score,margin,top_vote_frac,vote_margin,top_pairwise_winrate,score_range,paired_diff_skew,paired_diff_p10,paired_diff_p90,label
Gemma-3-4B-PT__teacher=GPT-OSS-120B__data=OMI,Gemma-3-4B-PT,GPT-OSS-120B,OMI,s1,with_true,4,0.23129627079264506,-0.08364125079839749,0.31493752159104255,1.0,1.0,1.0,0.40783920908399285,0.11111836459649758,0.2355688060757942,0.3933548050955054,1
Gemma-3-4B-PT__teacher=GPT-OSS-120B__data=OMI,Gemma-3-4B-PT,GPT-OSS-120B,OMI,s1,without_true,3,-0.08364125079839749,-0.086560393710204,0.0029191429118065187,0.47,-0.040000000000000036,0.7175,0.0929016874929503,0.03093132492005081,-0.046705102039513856,0.060506123195256264,0
Gemma-3-4B-PT__teacher=GPT-OSS-120B__data=OMI,Gemma-3-4B-PT,GPT-OSS-120B,OMI,OMI,with_true,4,0.3894754095501861,-0.10568573189978517,0.49516114144997125,1.0,1.0,1.0,0.5748907158862628,0.48422918134685217,0.3497182176455064,0.6769865001747577,1
Gemma-3-4B-PT__teacher=GPT-OSS-120B__data=OMI,Gemma-3-4B-PT,GPT-OSS-120B,OMI,OMI,without_true,3,-0.10568573189978517,-0.11849136592440479,0.012805634024619622,0.56,0.16000000000000003,0.75,0.07972957443629161,0.6808734969831343,-0.04955315566495829,0.07916409740531953,0
Gemma-3-4B-PT__teacher=GPT-OSS-120B__data=s1,Gemma-3-4B-PT,GPT-OSS-120B,s1,s1,with_true,4,0.2943515575411319,-0.08180206880250722,0.37615362634363914,1.0,1.0,1.0,0.48962004294576766,0.3783016584506758,0.29700384554869363,0.4589190149623859,1
Gemma-3-4B-PT__teacher=GPT-OSS-120B__data=s1,Gemma-3-4B-PT,GPT-OSS-120B,s1,s1,without_true,3,-0.08180206880250722,-0.0943868676761771,0.01258479887366988,0.625,0.26,0.8049999999999999,0.11346641660212854,-0.1625448385899648,-0.04705131649214707,0.06037363870751351,0
Gemma-3-4B-PT__teacher=GPT-OSS-120B__data=s1,Gemma-3-4B-PT,GPT-OSS-120B,s1,OMI,with_true,4,0.26989953268509553,-0.09940853514708518,0.36930806783218073,1.0,1.0,1.0,0.45198817503000766,0.2494805285245461,0.2746091503221903,0.47297355927531975,1
Gemma-3-4B-PT__teacher=GPT-OSS-120B__data=s1,Gemma-3-4B-PT,GPT-OSS-120B,s1,OMI,without_true,3,-0.09940853514708518,-0.1229653158312392,0.02355678068415401,0.63,0.29,0.785,0.08268010719782691,0.34505422823373055,-0.03590254517025476,0.0977764390410432,0
Gemma-3-4B-PT__teacher=Llama-3.3-70B-Instruct__data=s1,Gemma-3-4B-PT,Llama-3.3-70B-Instruct,s1,s1,with_true,4,0.1894910239086726,-0.005358248346450802,0.19484927225512338,1.0,1.0,1.0,0.26404564064602676,0.3255493976441598,0.10825817690541657,0.3009186047206902,1
Gemma-3-4B-PT__teacher=Llama-3.3-70B-Instruct__data=s1,Gemma-3-4B-PT,Llama-3.3-70B-Instruct,s1,s1,without_true,3,-0.005358248346450802,-0.03706633355408161,0.031708085207630805,0.93,0.865,0.9575,0.06919636839090337,0.6282947912985101,0.006543586094526834,0.05668621947768648,0
Gemma-3-4B-PT__teacher=Llama-3.3-70B-Instruct__data=s1,Gemma-3-4B-PT,Llama-3.3-70B-Instruct,s1,OMI,with_true,4,0.12448978327255932,-0.004774197999000239,0.12926398127155955,1.0,1.0,1.0,0.20620817094566032,0.9389343699348022,0.07166807724277442,0.19498476476995807,1
Gemma-3-4B-PT__teacher=Llama-3.3-70B-Instruct__data=s1,Gemma-3-4B-PT,Llama-3.3-70B-Instruct,s1,OMI,without_true,3,-0.004774197999000239,-0.0361672001214134,0.03139300212241316,0.885,0.77,0.9425,0.07694418967410077,0.06746764043804297,-0.0006586013552917429,0.06393459330101917,0
Gemma-3-4B-PT__teacher=Qwen-3-8B__data=OMI,Gemma-3-4B-PT,Qwen-3-8B,OMI,s1,with_true,4,0.19455050132293025,0.018036464117926854,0.1765140372050034,1.0,1.0,1.0,0.284754630215053,-0.21002402374714882,0.12077208678128845,0.23050757476407,1
Gemma-3-4B-PT__teacher=Qwen-3-8B__data=OMI,Gemma-3-4B-PT,Qwen-3-8B,OMI,s1,without_true,3,0.018036464117926854,-0.040514529864666554,0.058550993982593405,0.955,0.9149999999999999,0.9775,0.10824059301004955,-0.003375972617727542,0.012805488202815863,0.09902674194584907,0
Gemma-3-4B-PT__teacher=Qwen-3-8B__data=OMI,Gemma-3-4B-PT,Qwen-3-8B,OMI,OMI,with_true,4,0.2683385018174819,0.02266412929703172,0.2456743725204502,1.0,1.0,1.0,0.35120444719402666,0.13827686290749314,0.19007953658488635,0.29941499750131695,1
Gemma-3-4B-PT__teacher=Qwen-3-8B__data=OMI,Gemma-3-4B-PT,Qwen-3-8B,OMI,OMI,without_true,3,0.02266412929703172,-0.06331705004234572,0.08598117933937745,0.975,0.95,0.9875,0.10553007467357649,0.8103744971139595,0.03731519254660678,0.14373453578485265,0
Gemma-3-4B-PT__teacher=Qwen-3-8B__data=s1,Gemma-3-4B-PT,Qwen-3-8B,s1,s1,with_true,4,0.2506557844976847,0.014891552689623423,0.2357642318080613,1.0,1.0,1.0,0.3542313405708849,0.12091008970309496,0.15564163202425724,0.3112178802972534,1
Gemma-3-4B-PT__teacher=Qwen-3-8B__data=s1,Gemma-3-4B-PT,Qwen-3-8B,s1,s1,without_true,3,0.014891552689623423,-0.05049287302762312,0.06538442571724654,0.94,0.8999999999999999,0.965,0.11846710876282363,-0.24176191184328474,0.01612166800376559,0.10810244827900158,0
Gemma-3-4B-PT__teacher=Qwen-3-8B__data=s1,Gemma-3-4B-PT,Qwen-3-8B,s1,OMI,with_true,4,0.18696381249660213,0.0060217700298894495,0.18094204246671267,1.0,1.0,1.0,0.2845006158166125,-0.18303723106886377,0.12383748430370597,0.24511231708509468,1
Gemma-3-4B-PT__teacher=Qwen-3-8B__data=s1,Gemma-3-4B-PT,Qwen-3-8B,s1,OMI,without_true,3,0.0060217700298894495,-0.07235612525886827,0.07837789528875772,0.96,0.9299999999999999,0.9775,0.10355857334989982,0.5246689359313915,0.03072077979182084,0.1320406484079563,0
Llama-3.2-3B-Instruct__teacher=Llama-3.3-70B-Instruct__data=OMI,Llama-3.2-3B-Instruct,Llama-3.3-70B-Instruct,OMI,s1,with_true,4,0.035391501842222506,0.009083427850653336,0.02630807399156917,0.945,0.8949999999999999,0.975,0.0423952170771506,0.2953339340835011,0.004926560231730282,0.047333688476087224,1
Llama-3.2-3B-Instruct__teacher=Llama-3.3-70B-Instruct__data=OMI,Llama-3.2-3B-Instruct,Llama-3.3-70B-Instruct,OMI,s1,without_true,3,0.009083427850653336,0.002477334762928922,0.006606093087724413,0.715,0.48,0.8075,0.01608714308558143,-0.4785610464997749,-0.009554515333176779,0.021041321968898876,0
Llama-3.2-3B-Instruct__teacher=Llama-3.3-70B-Instruct__data=OMI,Llama-3.2-3B-Instruct,Llama-3.3-70B-Instruct,OMI,OMI,with_true,4,0.04167321100385907,0.012256107620524297,0.02941710338333477,0.97,0.94,0.9899999999999999,0.051163233790475625,1.6194685750723288,0.006131932141782881,0.05482193533707608,1
Llama-3.2-3B-Instruct__teacher=Llama-3.3-70B-Instruct__data=OMI,Llama-3.2-3B-Instruct,Llama-3.3-70B-Instruct,OMI,OMI,without_true,3,0.012256107620524297,-0.004759571410212303,0.0170156790307366,0.865,0.7949999999999999,0.925,0.021746130407140858,-1.4111228940934921,0.00273291252322594,0.03391529342210494,0
Llama-3.2-3B-Instruct__teacher=Llama-3.3-70B-Instruct__data=s1,Llama-3.2-3B-Instruct,Llama-3.3-70B-Instruct,s1,s1,with_true,4,0.08356902624769937,0.011189111443627603,0.07237991480407176,1.0,1.0,1.0,0.092422992080018,0.8644716589425933,0.032374255936869906,0.11632679635597494,1
Llama-3.2-3B-Instruct__teacher=Llama-3.3-70B-Instruct__data=s1,Llama-3.2-3B-Instruct,Llama-3.3-70B-Instruct,s1,s1,without_true,3,0.011189111443627603,0.004526195758050671,0.006662915685576932,0.725,0.485,0.8200000000000001,0.020043077275946244,-0.8890391411341763,-0.01003036717748491,0.021108079870905037,0
Llama-3.2-3B-Instruct__teacher=Llama-3.3-70B-Instruct__data=s1,Llama-3.2-3B-Instruct,Llama-3.3-70B-Instruct,s1,OMI,with_true,4,0.033602454851303074,0.01442672343697884,0.019175731414324236,0.85,0.715,0.9416666666666665,0.04204378510939473,1.1077428952864345,-0.0023657997387536594,0.04133163693213125,1
Llama-3.2-3B-Instruct__teacher=Llama-3.3-70B-Instruct__data=s1,Llama-3.2-3B-Instruct,Llama-3.3-70B-Instruct,s1,OMI,without_true,3,0.01442672343697884,-0.0012200649709396805,0.01564678840791852,0.85,0.755,0.9175,0.022868053695070494,-0.832593635032808,-0.0005298366733039792,0.03286660999297584,0
Qwen-2.5-1.5B__teacher=GPT-OSS-120B__data=OMI,Qwen-2.5-1.5B,GPT-OSS-120B,OMI,s1,with_true,4,0.185270100467674,0.046153742164623354,0.13911635830305064,1.0,1.0,1.0,0.23078634873667306,-0.07006642286467914,0.09360825050675725,0.18226707738794487,1
Qwen-2.5-1.5B__teacher=GPT-OSS-120B__data=OMI,Qwen-2.5-1.5B,GPT-OSS-120B,OMI,s1,without_true,3,0.046153742164623354,0.0015156914890305901,0.04463805067559276,0.995,0.99,0.9975,0.09166999043362242,0.09246967572923386,0.021830565231109225,0.06899412573229823,0
Qwen-2.5-1.5B__teacher=GPT-OSS-120B__data=OMI,Qwen-2.5-1.5B,GPT-OSS-120B,OMI,OMI,with_true,4,0.2664630366157009,0.0452336939011346,0.22122934271456632,1.0,1.0,1.0,0.30180268932465515,1.195731161566458,0.13122754659532107,0.3405060257351011,1
Qwen-2.5-1.5B__teacher=GPT-OSS-120B__data=OMI,Qwen-2.5-1.5B,GPT-OSS-120B,OMI,OMI,without_true,3,0.0452336939011346,-0.003973346927572046,0.04920704082870665,0.98,0.97,0.99,0.0805733466100888,0.9400611533530547,0.016999280688942978,0.079154790842638,0
Qwen-2.5-1.5B__teacher=GPT-OSS-120B__data=s1,Qwen-2.5-1.5B,GPT-OSS-120B,s1,s1,with_true,4,0.20032641320216318,0.05741367630271971,0.14291273689944348,1.0,1.0,1.0,0.24082849171007725,-0.036780726167385716,0.093202759517397,0.19472442203928167,1
Qwen-2.5-1.5B__teacher=GPT-OSS-120B__data=s1,Qwen-2.5-1.5B,GPT-OSS-120B,s1,s1,without_true,3,0.05741367630271971,0.004815935413650201,0.0525977408890695,0.99,0.98,0.995,0.09791575481063379,-0.1070885309041859,0.027733372892236645,0.07689721511472722,0
Qwen-2.5-1.5B__teacher=GPT-OSS-120B__data=s1,Qwen-2.5-1.5B,GPT-OSS-120B,s1,OMI,with_true,4,0.20441615331430107,0.05033242971335154,0.15408372360094952,1.0,1.0,1.0,0.23394638390271072,1.4843095417575511,0.08163523789882152,0.23209257978830586,1
Qwen-2.5-1.5B__teacher=GPT-OSS-120B__data=s1,Qwen-2.5-1.5B,GPT-OSS-120B,s1,OMI,without_true,3,0.05033242971335154,0.009845828509172254,0.04048660120417929,0.95,0.9049999999999999,0.9724999999999999,0.07986266030176117,-0.14777849898538056,0.010208989161876349,0.07236241191946645,0
Qwen-2.5-1.5B__teacher=Llama-3.3-70B-Instruct__data=OMI,Qwen-2.5-1.5B,Llama-3.3-70B-Instruct,OMI,s1,with_true,4,0.04471719254672923,0.007019805568986293,0.037697386977742935,0.965,0.955,0.9816666666666666,0.03939760433650092,0.09288287816937882,0.011927666206030432,0.06293901399015604,1
Qwen-2.5-1.5B__teacher=Llama-3.3-70B-Instruct__data=OMI,Qwen-2.5-1.5B,Llama-3.3-70B-Instruct,OMI,s1,without_true,3,0.007019805568986293,0.005726891518867947,0.0012929140501183453,0.41,0.034999999999999976,0.585,0.0017002173587579847,-0.006551294016907638,-0.006227302267708235,0.010507152354043736,0
Qwen-2.5-1.5B__teacher=Llama-3.3-70B-Instruct__data=OMI,Qwen-2.5-1.5B,Llama-3.3-70B-Instruct,OMI,OMI,with_true,4,0.06837180202798866,0.004910128227212081,0.06346167380077658,1.0,1.0,1.0,0.07620253990096786,1.014148338377616,0.032967003377810694,0.10208252435978256,1
Qwen-2.5-1.5B__teacher=Llama-3.3-70B-Instruct__data=OMI,Qwen-2.5-1.5B,Llama-3.3-70B-Instruct,OMI,OMI,without_true,3,0.004910128227212081,-0.004505359747665306,0.009415487974877387,0.755,0.68,0.825,0.012740866100191275,2.101723167254868,-0.001670867462583214,0.021430954796479044,0
Qwen-2.5-1.5B__teacher=Llama-3.3-70B-Instruct__data=s1,Qwen-2.5-1.5B,Llama-3.3-70B-Instruct,s1,s1,with_true,4,0.06731529854436884,0.008799988026711171,0.05851531051765767,1.0,1.0,1.0,0.06089243778574973,0.15848358126873854,0.031696857358568746,0.08698882018823112,1
Qwen-2.5-1.5B__teacher=Llama-3.3-70B-Instruct__data=s1,Qwen-2.5-1.5B,Llama-3.3-70B-Instruct,s1,s1,without_true,3,0.008799988026711171,0.007834098627903172,0.0009658893988079998,0.31,-0.13,0.48750000000000004,0.002377127268092062,2.186705801751465,-0.00818964091789716,0.012426091226740653,0
Qwen-2.5-1.5B__teacher=Llama-3.3-70B-Instruct__data=s1,Qwen-2.5-1.5B,Llama-3.3-70B-Instruct,s1,OMI,with_true,4,0.056730936346593624,0.004474717830284811,0.052256218516308815,0.995,0.995,0.9983333333333334,0.054353130259041295,0.4902484971923376,0.027679218872761303,0.08028771622421908,1
Qwen-2.5-1.5B__teacher=Llama-3.3-70B-Instruct__data=s1,Qwen-2.5-1.5B,Llama-3.3-70B-Instruct,s1,OMI,without_true,3,0.004474717830284811,0.004108710723176732,0.00036600710710807914,0.39,-0.03999999999999998,0.55,0.0020969117427324805,0.39639507069036467,-0.011862151035234835,0.011442914063073937,0
Qwen-2.5-1.5B__teacher=Qwen-3-8B__data=OMI,Qwen-2.5-1.5B,Qwen-3-8B,OMI,s1,with_true,4,0.16402774121049887,0.05850439184000005,0.10552334937049881,1.0,1.0,1.0,0.20380658078359914,0.07393808234530687,0.0695055217216662,0.14567148177822264,1
Qwen-2.5-1.5B__teacher=Qwen-3-8B__data=OMI,Qwen-2.5-1.5B,Qwen-3-8B,OMI,s1,without_true,3,0.05850439184000005,0.004499566500704047,0.05400482533929601,0.995,0.99,0.9975,0.09828323141310033,-0.1407228445144131,0.021657152368147855,0.07924246850839727,0
Qwen-2.5-1.5B__teacher=Qwen-3-8B__data=OMI,Qwen-2.5-1.5B,Qwen-3-8B,OMI,OMI,with_true,4,0.20277892360076422,0.0643927103271862,0.13838621327357803,1.0,1.0,1.0,0.23911226360264773,-0.00584078942131079,0.08755529052460909,0.18740735985333487,1
Qwen-2.5-1.5B__teacher=Qwen-3-8B__data=OMI,Qwen-2.5-1.5B,Qwen-3-8B,OMI,OMI,without_true,3,0.0643927103271862,0.005483926245099432,0.05890878408208677,0.985,0.97,0.9924999999999999,0.10072605032906971,0.3772536583463571,0.02140238372484843,0.09394243202088177,0
Qwen-2.5-1.5B__teacher=Qwen-3-8B__data=s1,Qwen-2.5-1.5B,Qwen-3-8B,s1,s1,with_true,4,0.18097453648202091,0.06434916541264521,0.1166253710693757,1.0,1.0,1.0,0.21795109932155138,0.07468520475130778,0.07744806587880523,0.15852289853280307,1
Qwen-2.5-1.5B__teacher=Qwen-3-8B__data=s1,Qwen-2.5-1.5B,Qwen-3-8B,s1,s1,without_true,3,0.06434916541264521,0.005063990831651552,0.05928517458099366,0.995,0.99,0.9975,0.10132572825217566,-0.2561173044998416,0.023222034969634,0.08625468496787767,0
Qwen-2.5-1.5B__teacher=Qwen-3-8B__data=s1,Qwen-2.5-1.5B,Qwen-3-8B,s1,OMI,with_true,4,0.16286903641767217,0.06193746043338095,0.10093157598429123,0.985,0.97,0.995,0.19239478836133564,-0.2945905278337369,0.056875026796348614,0.14768723225216634,1
Qwen-2.5-1.5B__teacher=Qwen-3-8B__data=s1,Qwen-2.5-1.5B,Qwen-3-8B,s1,OMI,without_true,3,0.06193746043338095,0.00526386949524698,0.05667359093813397,0.985,0.97,0.9924999999999999,0.09146321237704441,0.18950864546331017,0.02213190906436941,0.08910956459428,0
Qwen-2.5-3B__teacher=GPT-OSS-120B__data=OMI,Qwen-2.5-3B,GPT-OSS-120B,OMI,s1,with_true,4,0.18889360206205905,0.049846578919482874,0.13904702314257616,1.0,1.0,1.0,0.26086584737740814,0.05581637753838138,0.0995130984180252,0.17913931079360992,1
Qwen-2.5-3B__teacher=GPT-OSS-120B__data=OMI,Qwen-2.5-3B,GPT-OSS-120B,OMI,s1,without_true,3,0.049846578919482874,-0.0071825215446193556,0.05702910046410223,1.0,1.0,1.0,0.12181882423483201,-0.0098532212680213,0.03194061138155798,0.08166862642811873,0
Qwen-2.5-3B__teacher=GPT-OSS-120B__data=OMI,Qwen-2.5-3B,GPT-OSS-120B,OMI,OMI,with_true,4,0.26960020005847246,0.044147541361293,0.22545265869717945,1.0,1.0,1.0,0.3348789909346258,0.8241394522006835,0.13567713592228847,0.34036188032894943,1
Qwen-2.5-3B__teacher=GPT-OSS-120B__data=OMI,Qwen-2.5-3B,GPT-OSS-120B,OMI,OMI,without_true,3,0.044147541361293,-0.021369994789918825,0.06551753615121182,0.99,0.98,0.995,0.10942633223744638,2.17133017352968,0.03219447850012521,0.11079516110688105,0
Qwen-2.5-3B__teacher=GPT-OSS-120B__data=s1,Qwen-2.5-3B,GPT-OSS-120B,s1,s1,with_true,4,0.2118375287946458,0.06050388593060518,0.1513336428640406,1.0,1.0,1.0,0.28923142868410673,-0.04649916626278866,0.09665464254428363,0.20247728398365608,1
Qwen-2.5-3B__teacher=GPT-OSS-120B__data=s1,Qwen-2.5-3B,GPT-OSS-120B,s1,s1,without_true,3,0.06050388593060518,-0.005536108542445524,0.0660399944730507,1.0,1.0,1.0,0.1378977858200661,0.5675558096434948,0.03901822919985088,0.0908435328355534,0
Qwen-2.5-3B__teacher=GPT-OSS-120B__data=s1,Qwen-2.5-3B,GPT-OSS-120B,s1,OMI,with_true,4,0.20982984882476954,0.05145526438567388,0.15837458443909566,0.995,0.99,0.995,0.26808560358075273,0.7553733647817857,0.07834765515479898,0.24050757510326576,1
Qwen-2.5-3B__teacher=GPT-OSS-120B__data=s1,Qwen-2.5-3B,GPT-OSS-120B,s1,OMI,without_true,3,0.05145526438567388,-0.004205069306287494,0.055660333691961376,0.985,0.97,0.9924999999999999,0.10971101914165705,0.8365489599156057,0.024788684152233693,0.08730942643400587,0
Qwen-2.5-3B__teacher=Llama-3.3-70B-Instruct__data=OMI,Qwen-2.5-3B,Llama-3.3-70B-Instruct,OMI,s1,with_true,4,0.04394416637013014,0.004157670761634943,0.0397864956084952,0.98,0.965,0.9899999999999999,0.042335709887862616,0.24471531997027582,0.014846675186752553,0.06704814380902915,1
Qwen-2.5-3B__teacher=Llama-3.3-70B-Instruct__data=OMI,Qwen-2.5-3B,Llama-3.3-70B-Instruct,OMI,s1,without_true,3,0.004157670761634943,0.003657464063296664,0.0005002066983382791,0.425,0.03999999999999998,0.6025,0.0025492142793674183,-0.28033911121957966,-0.007818006848568853,0.008887739331981155,0
Qwen-2.5-3B__teacher=Llama-3.3-70B-Instruct__data=OMI,Qwen-2.5-3B,Llama-3.3-70B-Instruct,OMI,OMI,with_true,4,0.07078818830694553,0.001372390200095257,0.06941579810685027,1.0,1.0,1.0,0.08454831639030325,0.5461888928053117,0.03680461615650411,0.10135385273810474,1
Qwen-2.5-3B__teacher=Llama-3.3-70B-Instruct__data=OMI,Qwen-2.5-3B,Llama-3.3-70B-Instruct,OMI,OMI,without_true,3,0.001372390200095257,-0.004307756323235398,0.005680146523330655,0.6,0.33999999999999997,0.7275,0.015132518283452972,3.1709127407412474,-0.007331155470883421,0.017578764216034937,0
Qwen-2.5-3B__teacher=Llama-3.3-70B-Instruct__data=s1,Qwen-2.5-3B,Llama-3.3-70B-Instruct,s1,s1,with_true,4,0.07191618543683279,0.004904224814609094,0.0670119606222237,1.0,1.0,1.0,0.07063725275373958,0.4668982608566593,0.03695058643757719,0.09719681487127461,1
Qwen-2.5-3B__teacher=Llama-3.3-70B-Instruct__data=s1,Qwen-2.5-3B,Llama-3.3-70B-Instruct,s1,s1,without_true,3,0.004904224814609094,0.00276758883814263,0.002136635976466464,0.485,0.15999999999999998,0.6675,0.0036252921315158898,3.002136953351903,-0.007361157796529642,0.010828861180960407,0
Qwen-2.5-3B__teacher=Llama-3.3-70B-Instruct__data=s1,Qwen-2.5-3B,Llama-3.3-70B-Instruct,s1,OMI,with_true,4,0.058270986232613675,-0.001265772054683245,0.05953675828729692,0.995,0.995,0.995,0.0667382150434854,0.31670814124609303,0.03226946829155629,0.08732314405713812,1
Qwen-2.5-3B__teacher=Llama-3.3-70B-Instruct__data=s1,Qwen-2.5-3B,Llama-3.3-70B-Instruct,s1,OMI,without_true,3,-0.001265772054683245,-0.001613307207542289,0.00034753515285904394,0.39,-0.034999999999999976,0.5625,0.007201456756188474,1.5640134913882924,-0.009780612603851612,0.010075585216678154,0
Qwen-2.5-3B__teacher=Qwen-3-8B__data=OMI,Qwen-2.5-3B,Qwen-3-8B,OMI,s1,with_true,4,0.17615318542353037,0.05834054074297838,0.11781264468055198,1.0,1.0,1.0,0.23581759650566056,0.12465683093364902,0.07864218041722296,0.15537618476122936,1
Qwen-2.5-3B__teacher=Qwen-3-8B__data=OMI,Qwen-2.5-3B,Qwen-3-8B,OMI,s1,without_true,3,0.05834054074297838,-0.0003214950706681197,0.058662035813646506,0.995,0.99,0.9975,0.11800495182510858,0.6301778845965884,0.029191489032968903,0.08300136971402096,0
Qwen-2.5-3B__teacher=Qwen-3-8B__data=OMI,Qwen-2.5-3B,Qwen-3-8B,OMI,OMI,with_true,4,0.21170426722997604,0.052987135995331516,0.15871713123464454,1.0,1.0,1.0,0.2666758239343951,1.0649558311153633,0.09967180373794,0.2140593547363116,1
Qwen-2.5-3B__teacher=Qwen-3-8B__data=OMI,Qwen-2.5-3B,Qwen-3-8B,OMI,OMI,without_true,3,0.052987135995331516,-0.005312645878014603,0.05829978187334612,0.95,0.9149999999999999,0.9624999999999999,0.10795869269975059,0.8637134314014466,0.022917709452325387,0.09434908825674987,0
Qwen-2.5-3B__teacher=Qwen-3-8B__data=s1,Qwen-2.5-3B,Qwen-3-8B,s1,s1,with_true,4,0.1986842144757135,0.06396122232230486,0.13472299215340863,1.0,1.0,1.0,0.2636376774237103,-0.008880572996862695,0.0898557308945403,0.1780098368592242,1
Qwen-2.5-3B__teacher=Qwen-3-8B__data=s1,Qwen-2.5-3B,Qwen-3-8B,s1,s1,without_true,3,0.06396122232230486,-0.0020933400982221183,0.06605456242052699,0.995,0.99,0.9975,0.1289146852703017,0.4869665584217838,0.03348014772369969,0.09372942711044735,0
Qwen-2.5-3B__teacher=Qwen-3-8B__data=s1,Qwen-2.5-3B,Qwen-3-8B,s1,OMI,with_true,4,0.17496687038337103,0.047278462191110704,0.12768840819226032,0.995,0.99,0.9983333333333334,0.22244314073888335,0.5261053257217484,0.0835758776957426,0.18670671322968824,1
Qwen-2.5-3B__teacher=Qwen-3-8B__data=s1,Qwen-2.5-3B,Qwen-3-8B,s1,OMI,without_true,3,0.047278462191110704,-0.00821506824625637,0.05549353043736707,0.915,0.89,0.9299999999999999,0.09475473254662303,0.2411211552618661,0.01918347930013398,0.09031972999257636,0
